m,alpha,empirical_rate
18,0.000000000000,0.439315932895
18,0.003117108590,0.426847498535
18,0.006234217180,0.414379064174
18,0.009351325770,0.401910629814
18,0.012468434360,0.389442195453
18,0.015585542950,0.377376469271
18,0.018702651541,0.365687312058
18,0.021819760131,0.354712901642
18,0.024936868721,0.343803021577
18,0.028053977311,0.333400690819
18,0.031171085901,0.323270087901
18,0.034288194491,0.313139484984
18,0.037405303081,0.303380037281
18,0.040522411671,0.294028711511
18,0.043639520261,0.284677385741
18,0.046756628851,0.275326059970
18,0.049873737441,0.266105022634
18,0.052990846032,0.257532974011
18,0.056107954622,0.248960925388
18,0.059225063212,0.240388876766
18,0.062342171802,0.231816828143
18,0.065459280392,0.223244779520
18,0.068576388982,0.215182189648
18,0.071693497572,0.207389418173
18,0.074810606162,0.199596646697
18,0.077927714752,0.191803875222
18,0.081044823342,0.184011103747
18,0.084161931932,0.176218332272
18,0.087279040523,0.168570547943
18,0.090396149113,0.161557053615
18,0.093513257703,0.154543559287
18,0.096630366293,0.147530064959
18,0.099747474883,0.140516570632
18,0.102864583473,0.133503076304
18,0.105981692063,0.126489581976
18,0.109098800653,0.119762263601
18,0.112215909243,0.113528046421
18,0.115333017833,0.107293829241
18,0.118450126423,0.101059612061
18,0.121567235014,0.094825394880
18,0.124684343604,0.088591177700
18,0.127801452194,0.082356960520
18,0.130918560784,0.076845753875
18,0.134035669374,0.071390813842
18,0.137152777964,0.065935873810
18,0.140269886554,0.060480933777
18,0.143386995144,0.055025993744
18,0.146504103734,0.049877100327
18,0.149621212324,0.045201437442
18,0.152738320914,0.040525774557
18,0.155855429505,0.035850111672
18,0.158972538095,0.031174448787
18,0.162089646685,0.027224464457
18,0.165206755275,0.023328078719
18,0.168323863865,0.019431692982
18,0.171440972455,0.015882131804
18,0.174558081045,0.012765023214
18,0.177675189635,0.009647914624
18,0.180792298225,0.007100467811
18,0.183909406815,0.004762636369
18,0.187026515406,0.002883848060
18,0.190143623996,0.001325293765
18,0.193260732586,0.000438470647
18,0.196377841176,0.000000000000
18,0.196985659761,0.000000000000
18,0.199494949766,0.000184912463
18,0.202612058356,0.001126328342
18,0.205729166946,0.002927938191
18,0.208846275536,0.005672291676
18,0.211963384126,0.009569835536
18,0.215080492716,0.014788529219
18,0.218197601306,0.021622753881
18,0.221314709897,0.030306177687
18,0.224431818487,0.041322723900
18,0.227548927077,0.055121927155
18,0.230666035667,0.072438394836
18,0.233783144257,0.094310700086
18,0.236900252847,0.122468908702
18,0.240017361437,0.158507559471
18,0.243134470027,0.195912862552
18,0.246251578617,0.233318165633
18,0.249368687207,0.270723468715
22,0.000000000000,0.446857132228
22,0.003097180940,0.434468408470
22,0.006194361879,0.422079684712
22,0.009291542819,0.409690960953
22,0.012388723758,0.397454817990
22,0.015485904698,0.385840389467
22,0.018583085637,0.374806943723
22,0.021680266577,0.363966810435
22,0.024777447516,0.353599155079
22,0.027874628456,0.343533317025
22,0.030971809395,0.333467478972
22,0.034068990335,0.323746242623
22,0.037166171274,0.314454699804
22,0.040263352214,0.305163156986
22,0.043360533153,0.295871614167
22,0.046457714093,0.286580071349
22,0.049554895032,0.277977659955
22,0.052652075972,0.269460412371
22,0.055749256911,0.260943164788
22,0.058846437851,0.252425917204
22,0.061943618791,0.243908669620
22,0.065040799730,0.235391422037
22,0.068137980670,0.227460587021
22,0.071235161609,0.219717634672
22,0.074332342549,0.211974682323
22,0.077429523488,0.204231729975
22,0.080526704428,0.196488777626
22,0.083623885367,0.188745825277
22,0.086721066307,0.181002872928
22,0.089818247246,0.173541459286
22,0.092915428186,0.166572802172
22,0.096012609125,0.159604145058
22,0.099109790065,0.152635487944
22,0.102206971004,0.145666830830
22,0.105304151944,0.138698173716
22,0.108401332883,0.131729516602
22,0.111498513823,0.124760859488
22,0.114595694762,0.118277884328
22,0.117692875702,0.112083522449
22,0.120790056642,0.105889160570
22,0.123887237581,0.099694798691
